b;c;d;n;h
75;0,1816;0;0;50
112,5;0,3921;0,005;0;50
150;0,5303;0,0027;0;50
187,5;0,3129;0,00073;0;50
225;0,1692;0,003;0;50
300;0,1816;0;0;50
75;0,2835;0;0;100
112,5;0,2722;0,0014;0;100
150;0,3374;0;0;100
187,5;0,3478;0;0;100
225;0,333;0;0;100
300;0,4522;0,006;0;100
75;0,6434;0;0;500
112,5;0,5354;0,002;0;500
150;0,5438;0,003;0;500
187,5;0,2922;0,005;-0,0565;500
225;0,3898;0,006;-0,0669;500
300;0,3763;0,007;-0,2014;500
75;0,321;0,0388;-0,0188;1000
112,5;0,1396;0,04;-0,0442;1000
150;0,3817;0,0225;-0,1;1000
187,5;0,1581;0,056;-0,1115;1000
225;0,3394;0,13;-0,0989;1000
300;0,2069;0,1577;-0,2412;1000
75;0,4299;0,0047;-0,1;5000
112,5;0,3655;0,0731;-0,2;5000
150;0,1654;0,0472;-0,30544;5000
187,5;0,3416;0,2187;-0,4;5000
225;0,3948;0,1935;-0,5;5000
300;0,2412;0,3699;-0,61685;5000
