b;c;d;n;h
75;0,1816;0;0;50
112,5;0,3921;0,005;0;50
150;0,5303;0,0027;0;50
187,5;0,3129;0,00073;0;50
225;0,1692;0,003;0;50
300;0,1816;0;0;50
75;0,2835;0;0;100
112,5;0,2722;0,0014;0;100
150;0,3374;0;0;100
187,5;0,3478;0;0;100
225;0,333;0;0;100
300;0,4522;0,006;0;100
75;0,6434;0;0;500
112,5;0,5354;0,002;0;500
150;0,5438;0,003;0;500
187,5;0,2922;0,005;-0,0565;500
225;0,3898;0,006;-0,0669;500
300;0,3763;0,007;-0,2014;500
75;0,321;0,0388;-0,0188;1000
112,5;0,1396;0,04;-0,0442;1000
150;0,3817;0,0225;-0,1;1000
187,5;0,1581;0,056;-0,1115;1000
225;0,3394;0,13;-0,0989;1000
300;0,2069;0,1577;-0,2412;1000
75;0,4299;0,0047;-0,1;5000
112,5;0,3655;0,0731;-0,2;5000
150;0,1654;0,0472;-0,30544;5000
187,5;0,3416;0,2187;-0,4;5000
225;0,3948;0,1935;-0,5;5000
300;0,2412;0,3699;-0,61685;5000
75;0,0838;0,0882;-0,4;15000
82;0,139096;0,101;-0,4146;15000
85;0,149425;0,1085;-0,4217;15000
90;0,170221;0,1236;-0,4344;15000
97;0,205339;0,1491;-0,4537;15000
102;0,234123;0,17;-0,4682;15000
107;0,265247;0,1926;-0,4832;15000
112,5;0,1742;0,219;-0,5;15000
122;0,367435;0,2668;-0,5288;15000
130;0,423624;0,3076;-0,552;15000
136;0,464665;0,3374;-0,5682;15000
147;0,533937;0,3877;-0,5941;15000
150;0,367;0,4;-0,6;15000
158;0,590953;0,4291;-0,6133;15000
160;0,599905;0,4356;-0,6162;15000
168;0,631029;0,4582;-0,6264;15000
172;0,643975;0,4676;-0,6311;15000
178;0,660226;0,4794;-0,638;15000
184;0,672896;0,4886;-0,6453;15000
187,5;0,3472;0,4928;-0,65;15000
192;0,684464;0,497;-0,6566;15000
200;0,690524;0,5014;-0,6699;15000
207;0,692314;0,5027;-0,6829;15000
218;0,690937;0,5017;-0,7052;15000
225;0,2487;0,5;-0,72;15000
232;0,686117;0,4982;-0,735;15000
240;0,725367;0,5267;-0,7521;15000
260;0,77412;0,5621;-0,7914;15000
290;0,799047;0,5802;-0,8289;15000
300;0,541;0,6;-0,8323;15000
305;0,86047;0,6248;-0,8318;15000
